sentence1,sentence2,gold_label
Men are playing with a volleyball in a pool.,Men are swimming laps in a pool.,contradiction
Young boy is hanging his laundry outside to dry.,The boy is putting his laundry in the washing machine.,contradiction
One boy skateboarding on a rail and three boys watching.,The boys are all skateboarding,contradiction
Two men and a woman playing cards.,Three people swim in the pool.,contradiction
A dog with black and brown fur runs in the snow.,A nurse is checking a patients blood pressure.,contradiction
a man wearing a red clown nose stand talking to a man holding groceries on a busy city street.,A clown sits on a bench.,contradiction
A young person wearing a helmet is jumping in the air during a gymnastics routine.,The people are sleeping.,contradiction
"An older gentleman, dressed in jeans and a long-sleeved shirt, tosses a small red ball on the beach.",An old man swims in the ocean.,contradiction
Blond girl paying with a hula hoop.,The girls are taking a math test.,contradiction
a young boy smiling with people looking in his direction and a bottle to his left,The boy is crying while the people try to comfort him.,contradiction
A woman lays on a floating platform in the middle of a body of water.,A camel trudges through the desert in search of an oasis.,contradiction
"three men standing at a desk, the two in long-sleeve shirts are filling out papers while the man in the red shirt looks on.",three men eat peach pie,contradiction
Four casually dressed guys jumping down a stairway outdoors with a stone wall behind them.,Five women crawl down stairs with a stone wall behind them.,contradiction
"Four adults playing baseball, with a forest in the background.","With the desert in the background, four adults are telling stories about playing baseball.",contradiction
Three construction workers sitting around a sewer drain.,Three men sit in the park eating apple pie.,contradiction
A young child rides a motorbike through the mud.,A young child is flying a space ship.,contradiction
"A group of people, some with orange vests, plant a tree together.",A group of people are watching football.,contradiction
Soccer players playing a game in front of a big crowd.,There is soccer match played on stadium without crowd.,contradiction
A young man in a park setting has just made a slam dunk on a basketball hoop.,A young man dribbles a basketball.,contradiction
An angry looking man pretending to punch the ground.,A man is smiling as he touches the ground.,contradiction
"Two men sitting on a couch, playing music together.",Two men are eating lunch.,contradiction
Men and women visit a marketplace in India.,Men and women eating donuts,contradiction
The woman stands near a dangerously cracked window.,The woman is in complete safety,contradiction
Two little boys and their mom smiling on the outside of a window.,The family is inside looking out.,contradiction
A man in a wetsuit is throwing a toddler up in the air and is ready to catch him.,A woman gives her baby a bottle.,contradiction
Several people laying down on the beach.,The people are wearing winter boots.,contradiction
A youth with long dirty blond-hair wearing a denim jacket and jeans looks at the conveyor belt of groceries while waiting at a checkout line.,The youth at the grocery store is at home.,contradiction
A group of people walking on the side of a railroad track.,one person walks on a train track,contradiction
A person in a yellow coat is walking outside at night.,The man is standing at the counter indoors.,contradiction
There is a little boy in a red jacket walking down the railroad tracks and holding a stick.,A little boy in a red jacket waits for a speeding locomotive to approach so that he may throw a stick at it.,contradiction
A woman at a podium making a speech.,A man searches for his car keys.,contradiction
a yellow car driving through a lot of snow,A green car is driving in summer.,contradiction
Children stand under an umbrella in a river.,Children are swimming in the river.,contradiction
A man fishes by a tree in the morning mist.,The guy is driving in his truck.,contradiction
Two males with full beards playing guitars while one male in brown jacket is singing.,A group is playing basketball,contradiction
A young girl in a pink dress dances as a woman blows bubbles.,A little boy is crying after scraping his knee.,contradiction
A woman in a swimsuit is looking at her pink phone by the side of a pool.,A woman in a swimsuit is sand surfing.,contradiction
Man in wheelchair and two men pushing him greeted by monk.,All 3,contradiction
Older women in pink shit and gray hat looking at something.,A woman in a red shit and purple hat looking at nothing.,contradiction
A blond girl with a blue coat is putting her helmet on to ride her bike.,The girl puts on her helmet in order to drive her stock car.,contradiction
man balancing a unicycle on his chin in the street outside with a tattoo on his upper arm.,There is a man fishing.,contradiction
Children on tricycles.,The children are riding bicycles.,contradiction
"Several people, some with umbrellas, milling about on an urban street near a white building with a mailbox and newspaper boxes in front of it, and a street sign that says ""Park Ave"".",A mailbox and newspaper boxes are being vandalized by hooligans.,contradiction
Two people are walking through some water.,Three people are walking through water,contradiction
Sole fishing boater floats while being watched on shore by four other people.,Man capsizes boat as onlookers laugh,contradiction
A man using a chainsaw to cut lumber.,A man is eating at a fancy restaurant.,contradiction
Young girl wearing pink parka surrounded by abstract looking art.,"The girl is holding hands with a boy, while looking at art.",contradiction
A woman working on a painting of a young woman on a wall with tan skin.,A woman painter is catching up on much needed sleep.,contradiction
A man wearing all black and with a covered head lies in front of a doorway with grocery bags.,the man went fishing,contradiction
Concert goers walking towards a festival.,"Concertgoers sit in the grass, eating tacos.",contradiction
A woman is smiling in a park,women in blue shirt,contradiction
Four band members singing and playing.,They run across the street,contradiction
A toddler is cooking with another person.,The person is sleeping.,contradiction
Large dog running in snow,A cat frolics in the snow.,contradiction
A mother and father throw their young son in the air while walking outside on a crisp day.,A young couple walks in the park alone.,contradiction
Blond win sunglasses singing.,the room is quiet and dark and no one is making a sound,contradiction
a brown dog walking in a river with trees in the background,The cat is walking the river.,contradiction
A man in a batman costume is running a race.,"A man in a spiderman costume, sleeping in bed",contradiction
A black and a yellow dog,A fluffy kitten.,contradiction
A woman with glasses raised is staring with her mouth open and there is a man with a child behind her.,the woman is asleep at home,contradiction
a man wearing a red clown nose stand talking to a man holding groceries on a busy city street.,A man is sitting inside.,contradiction
A singer on a stage with a white shirt.,A singer on a stage with a black button down blouse.,contradiction
A middle-aged man relaxing on a couch reading a book.,"The middle-aged person is laying down on the sofa, taking a nap.",contradiction
A man in a suit is walking.,A guy in outer space.,contradiction
Asian people walking on a street.,Asian people are sitting down.,contradiction
"An attractive blond woman in a white tank top, jean shorts, sunglasses and carrying black flip-flops is walking along a sidewalk surrounded by sand and barricades.",An attractive woman sleeping,contradiction
Four people are meeting around table in a modern decorated room.,Nobody is at a table,contradiction
Two people are sitting at a bus bench.,Two people standing at a train station.,contradiction
A woman in blue shorts and white shirt holds a tennis racket on a blue tennis court.,The woman is playing field hockey.,contradiction
A boy in the snow riding his bike down the street.,A boy is inside the house enjoying the warmth.,contradiction
A man in a blue shirt is working on a bicycle rim.,A woman is fixing a skateboard.,contradiction
Ski equipment on the side of a snowy mountain.,the ski gear is in the garage.,contradiction
These five site seers are on the ocean looking out the man is taking pictures the others are looking at the beautiful blue sea.,Five people are in the forest hunting.,contradiction
The little boy is pushing a man in a wheelchair.,The man is pushing his daughter in a wheelchair.,contradiction
A man with a beige suit and gray trousers holds a guitar in his hands and a harmonica in his mouth.,The man is sitting in a chair in the audience.,contradiction
"Two men, one wearing a blue pinstriped shirt, singing karaoke",The men are wearing matching red shirts.,contradiction
A person walking in shadow next to a wall and a line of trees.,A person is illuminated by bright sunlight as they pass a wall and trees.,contradiction
The boy in a yellow shirt is walking behind two people and also is passing by a statue.,A family is getting ready to leave on a road trip.,contradiction
A winter sleigh ride with Santa.,Santa is in his truck.,contradiction
A woman in a bikini takes a photo of three people.,A woman is wearing a coat.,contradiction
A man in a turban that partially covers his face wearing a blue and light brown robe over a his clothes shows a slight smile as he gazes over to the right.,woman in bikini,contradiction
A rainbow arches over a suburban neighborhood.,A storm looms over a city.,contradiction
People are lined up behind the bright yellow steps under the green striped awning.,People are sleeping on the car.,contradiction
The three people are playing around with a fake knife.,The three people are baking cookies,contradiction
A tattooed man dunks a basketball.,A man is playing Dance Dance Revolution.,contradiction
Two men pose on a rocky area in front of a snowy mountain.,Two men are,contradiction
A furniture store has gathered a large amount of people.,People are at home.,contradiction
A large group of people with kids are looking over a wooden fence.,A group of people having a picnic.,contradiction
Two men in white uniforms are playing cricket on a grassy field.,Two women play cricket while wearing blue.,contradiction
Elderly man with a cane bends over near a man and woman.,An old man stands up straight.,contradiction
A group of people walk across snow with walking sticks in their hands.,A group of people walk across a desert with walking sticks in their hands.,contradiction
"Two men operating a hose that is hanging down into the water, the target of it is unclear in the picture.",Men are holding guitars next to a body of water.,contradiction
A man with a striped shirt that has a white bag over his shoulder is standing at a station with speakers about a TV screen and controls under the TV screen.,A man sits a park bench in the city.,contradiction
"Two ladies standing on the shore looking at the water ripple, with smiles on their faces.",A pair of men walk along the beach.,contradiction
a number of people standing on the sidewalk along side the front doors of a transit bus,people are waiting to board a plane.,contradiction
People enjoy a gathering with Pabst Blue Ribbon and Diet Coke.,People waiting in line.,contradiction
One person helping another person up to the top of a mound of sand underneath a cloudy sky.,The sky is blue and sunny.,contradiction
"A brown dog has a blue and white ribbon pinned to him, and teal and yellow ribbons behind him.",A brown dog has a yellow and white ribbon.,contradiction
Women in cosplay outfits are climbing a steel tower.,Ladies in costumes are standing around at the convention.,contradiction
Two people dressed in mostly black clothing walking on a sidewalk.,Two dogs walking inside,contradiction
Man in red safety jacket working on storage containers on a ladder.,A man directing traffic in a red safety jacket.,contradiction
Small children climb a statue in a park.,Small children are having a picnic lunch.,contradiction
A young man with long blond-hair skateboards down an inclined road.,A young man is parking his car at the curb.,contradiction
A man reads a placard on top of a monitor.,A man naps with his head on his desk.,contradiction
A man in a white t-shirt and blue baseball cap is overseeing some kids in a laboratory setting.,A group of kids is playing ball in a classroom.,contradiction
two kids playing super heroes,The kids are in time-out.,contradiction
One older man holding a beer standing with another man.,Two men play dodgeball at the gym.,contradiction
A man walking while holding roses.,A MAN IS JOGGING WITH A BOUQUET OF DAISIES.,contradiction
A man in a brown jumpsuit riding his bicycle on a sidewalk.,A man running on a dirt road.,contradiction
A man in a light brown jacket is walking past a newsstand near snow-covered trees.,A guy is brushing his teeth,contradiction
"Two men fishing, one casting a line into the water, the other is preparing his line.",Two men are trying to fix a boat engine.,contradiction
A man making a canvas shade.,A man is drinking coffee.,contradiction
An bird's eye view of a man sitting on a couch.,The people are running away.,contradiction
A rock band is performing in a concert hall with hexagonal roof panels.,The rock band is playing outside.,contradiction
"An older woman and a young boy, who is eating something, sit facing away from each other.",Two people are playing cards.,contradiction
Four men and one woman are socializing at a party.,The party was over.,contradiction
Male musician playing an accordion wearing a leather jacket and hat on a boardwalk or pier.,A man swims in the ocean.,contradiction
A person getting in their car on a rainy night.,the person gets out of the car,contradiction
A group of construction workers dressed in orange safety vest sit on the ground assembling a railroad track.,Men ride the train.,contradiction
A man in a coat standing outside.,"A man inside his home, watching television.",contradiction
An older man and younger boy walk by the opening of a tent in a rural area.,The man and boy are cooking.,contradiction
A person being blindfolded by a girl and a boy.,A child throws a ball.,contradiction
Group of girls having a study party.,Some girls are at a movie theater.,contradiction
"Competitive swimmers leap from the edge of a pool, towards the water.",Competitive swimmers climb out of the edge of the pool.,contradiction
People with their faces painted holding orange balloons.,People with their faces painted holding red balloons.,contradiction
"As others wait outside the public building for the doors to open, one young Irish dancer practices her jig.",People are running indoors.,contradiction
Two dogs romp through a meadow of high grasses,The dogs are eating Popsicle's out of a refrigerator.,contradiction
A male child is chiseling a piece of metal.,The girl is chiseling some metal.,contradiction
A small dog being held on a leash.,A large cat is trapped in a cage.,contradiction
A car which looks to be a hatch back is on fire with a man in a fire proof suite and helmet is laying across the hood while people are watching,A car is speeding down a street,contradiction
A group of people wearing marathon signs run through a stream.,A group of people wearing marathon signs stop tp play in the stream.,contradiction
A kid jumps in a puddle.,a bear ate mice,contradiction
Man cuddling with a child on an orange pillow.,The man is surfing,contradiction
"A man in a University of New Hampshire t-shirt prepares to make smores with tinfoil, Hershey's chocolate, graham crackers and marshmallows.",Dogs go to the university where the man teaches a sex ed class.,contradiction
A woman crouches down with a tennis racket in both hands.,The woman is playing football.,contradiction
A snowboarder jumping off a mountain cliff.,The snowboarder is at home.,contradiction
"Man standing by the side of an over flowing garbage bin, with random items scattered around the bin.",the garbage is neatly collected in the cans.,contradiction
There is a man wrapped in a blanket of some sort sliding down a hill that is covered in snow.,A man rests on a tropical beach.,contradiction
A boy with a brown shirt is holding onto a person with a white shirt around a spray of water.,A boy wearing all blue is trying to throw a girl in all green into a spray of water.,contradiction
A man posing for the camera on steps.,The man is in th eliving room watching TV.,contradiction
Three well-dressed children are sitting on a bench and smiling.,Three children are crying,contradiction
A girl making her way within solid ice walls.,The man slides down the icy path,contradiction
A person is riding a plow pulled by two oxen.,A person rides a horse.,contradiction
"A UH football player, #15, stands near the edge of the field ready to throw the ball while his teammate blocks an opponent.",A football player is ready to retire.,contradiction
Men build castle-like sculptures out of dark sand by the shore.,The men are dancing at the bar.,contradiction
"Two people, a man and a woman, are sitting outside.",A man and woman sitting on the couch watching tv.,contradiction
A female is posing on a porch in the woods.,A woman is posing indoors on a set.,contradiction
A little boy jumping from one chair to another.,Nobody is jumping,contradiction
Several women sit holding handrails on an incline shuttle.,Several men are standing on an incline shuttle.,contradiction
"There is a parade going on in the street, a group of people are holding up an Oscar the Grouch float device.",A Christmas parade features Santa on his sleigh.,contradiction
A woman play hitting a man on a couch in a department store.,A woman and Man are dancing in the store.,contradiction
Two men or boys jumping bikes off bike course.,The people are dancing,contradiction
A goalie blocking the goal with assistance from a teammate during a hockey game.,A goalie skates down the ice beside a forward late in the game.,contradiction
Two younger children are at an event both holding two sticks.,A man is grilling a hamburger.,contradiction
A backpacker smiles widely as she strolls down the street.,A woman cries as she drives to her house.,contradiction
A group of officers at the scene of an accident.,An abandoned accident scene.,contradiction
"Two Asian men and two Asian women, in various styles of dress, are waiting by a bus stop.",A bunch of white guys are walking in a field.,contradiction
A group of people stare in the same direction and one woman sits on another woman's shoulders to take a picture.,a group of people look in many directions while a group of women sit on another persons shoulders taking pictures,contradiction
A black dog with brown markings wearing a red vest trots down a path.,A dog attacks a cat outside of a house.,contradiction
A man is attached to a pole with a safety harness.,A man is using a net to catch a butterfly.,contradiction
A group of people are standing beside a firetruck.,A group of people sleeping next to a truck.,contradiction
Two dogs in a field are running to catch a tennis ball.,Two dogs are watching TV.,contradiction
Children play in the street under a spray of water from a large machine.,Children are attending church in their Sunday best attire.,contradiction
A man in raincoat stands in a dry dock next to a ship.,A train conductor sits beside his train,contradiction
A woman with an orange knitted object on her hand and another in her lap.,A dog is knitting a hat.,contradiction
A young man wearing a helmet rides a skateboard on a ramp.,A motorcyclist in a helmet rides by.,contradiction
A girl is skipping across the road in front of a white truck.,The girl is sitting in the truck.,contradiction
"Several people are walking down a street, ignoring a mime in a turban, who appears to be sitting on something while on a cigarette break.",A group of people talk to a man smoking a cigarette.,contradiction
Construction worker cutting concrete with a pro-saw.,A man breaking a brick with his head,contradiction
Two construction workers have a discussion while on the work site.,Two mailmen deliver mail in the neighborhood.,contradiction
Man squirts water gun in dogs mouth,A man brushing a dog's hair.,contradiction
A woman with a messenger bag is riding a bike.,A woman is riding a horse.,contradiction
Young man half-diving into indoor community pool.,The man in completely dry.,contradiction
"A woman with red dreadlocks is standing at a work station, wearing a floral shirt and a denim apron.",A woman is running after the car that ran over her dog.,contradiction
A group of marines walking down the road with american flags and other military flags.,The battle weary soldiers are being run out of an enemy village.,contradiction
Gumdrops adorn the top of the dessert.,There is licorice on top of the dessert.,contradiction
A man in jeans and a white t-shirt chops up vegetables in a kitchen.,A man in jeans and a yellow shirt chopping down a tree outside.,contradiction
Two young girls are displaying drawings of sloths.,Two young girls are displaying drawings of butterflies.,contradiction
"One guy wearing a green wig thinks hes cool while another guy looks in horror at a bottle that apparently landed on the green wig guy in a game, all while a girl in a skirt is smiling at the camera.",All of the people are frowning.,contradiction
A child in a white shirt is stirring a pot.,A grown man is making dinner,contradiction
Person on a dirt bike in the mud.,A girl writes in her diary.,contradiction
Firefighters relax after responding to an emergency.,Doctors perform extensive surgery on a pink rock.,contradiction
A woman in a white shirt is being arrested.,The woman is dancing.,contradiction
Women in long dresses walk along a beach.,The women are on the sidewalk.,contradiction
A man in a white Coca-Cola shirt and newsboy hat listens to a band play.,A man reads in the library,contradiction
"Some people in blue shirts are standing up at an even with big letters spelling out the word ""KRUNCH"".",People wearing red are holding up signs advertising Snickers at a baseball game.,contradiction
The little girl swings in the backyard.,A little girl lying in the sun.,contradiction
Young children crouch on the ground while looking through a stack of books in a library.,The children are standing on their tip toes looking for a book in the library.,contradiction
A young man gets ready to kick a soccer ball.,A young man throws a baseball.,contradiction
A girl on a swing suspended by a rope in a rural area.,The girl is in the city.,contradiction
A little boy with black curly hair sitting in a blue chair that is on the sidewalk.,A boy standing on the side of the road.,contradiction
People standing on the steps looking out at the water.,The people are pumping all the water from the ocean.,contradiction
Passerby walk about in a busy Asian street.,The street is empty.,contradiction
A dark-haired boy in sunglasses is jumping.,Two boys are playing with toy pistols.,contradiction
"Construction worker in orange safety vests and white safety hats, cleaning a window, while standing on a steel platform.",The worker has a blue hat,contradiction
A couple shares a kiss holding a bouquet.,A couple fight at the edge of a balcony.,contradiction
A black and white dog swims in blue water.,A black and white dog sitting on the grass.,contradiction
"4 men playing rugby two on the green team, two on the white team, one is jumping up.",the 4 men playing 4 players with ground,contradiction
Several people walking along a curved walkway inside of a building with various advertisements.,The building was a movie theater,contradiction
A red-haired woman in black is posing for a man while resting on a tree.,A blonde woman dressed in white sits on a bench.,contradiction
"A group of people are sitting and standing holding a banner that stays , ""WE ARE DEMANDING.""",A group of people stands in protest of the town meeting.,contradiction
A man in a red shirt is watching a football game.,Nobody is watching,contradiction
"An old bald man is sitting in a folding chair in front of a sign on the side of the road, in front of a brick building with a window that has the sign ""BATIMENT INHABITABLE.""",the man is a pilot flying home,contradiction
"A lone worker dressed in hard had, red shirt, mask and reflective vest, stands on dusty concrete, holding a broom and looking over his left shoulder.",A construction worker works on top of a sky scraper.,contradiction
A ballet company with a man and woman posing surrounded by several other women.,A break dancing team.,contradiction
man waving his hands in the middle of a street.,The man does not have hands.,contradiction
The American footballer is wearing a red and white strip.,The footballer is wearing black.,contradiction
The monks are participating in a festival.,Monks are meditating alone.,contradiction
Various people in white uniforms stand on a soccer field in a starburst pattern.,Basketball is their favorite sport.,contradiction
Family at the sore line looking ta the boats in the water and there dog by there side.,A family is swimming in the water.,contradiction
A man in a tank top looks at a woman near a water sculpture.,A man is standing on a water sculpture.,contradiction
People are sitting on a bus.,People are standing on a train.,contradiction
A girl holds a very small dog in her hands.,A girl is holding a great dane,contradiction
A small child watering plants in the garden.,A toddler is eating cake in the kitchen.,contradiction
"A street performer, dressed in colorful flowers, is hula hooping for tourists attention.",A woman is buying hula hoops.,contradiction
"Blond caucasian male in black t-shirt and cargo shorts, holding a professional digital camera, taking pictures.",The man is wearing a blue shirt.,contradiction
An animal running through the sand at the beach.,An animal is sleeping.,contradiction
A couple goes around the beach picking up garbage.,A couple goes around the beach throwing trash on the ground.,contradiction
Two kids stand under an area carved in a large tree.,The children are sitting on the bed.,contradiction
A man grilling hotdogs on a gas grill.,The man is asleep in a lawn chair.,contradiction
A motocross rider performs a trick in the air at a stadium as the sun sets.,A motocross rider works on their bike's engine at a stadium as the sun sets.,contradiction
A boy is running down a shady sidewalk.,The little boy is sitting down playing video games.,contradiction
Kids are playing on a playground.,Kids are preparing for the SAT.,contradiction
A bass drummer marches in a band formation.,The man is sleeping,contradiction
An old man and woman peer at something in the sky.,The adults sit in a windowless room.,contradiction
Young boy in blue swimming trunks is jumping into a pool.,A boy drowns in the pool.,contradiction
Several people are taking part in an organized run.,Everyone is sitting down.,contradiction
A young woman in a pink hoodie takes a picture.,A man wearing black is taking a picture.,contradiction
A person is diving into clear blue water.,The person is on a train.,contradiction
Child in orange jacket and a helmet playing in the snow.,The child is wearing a swimsuit at the indoor pool.,contradiction
Two young girls in pink outfits are enjoying the swings on a beautiful spring day.,Girls laying down for a nap.,contradiction
A man wearing black dances with a young girl wearing a pink shirt.,There is a man sitting watching others dance,contradiction
A group of people are standing outside staring at various people lying on the ground.,There are no people outside.,contradiction
A young man does tricks on a ramp.,The man is sleeping.,contradiction
The man in the middle raises his arms as he and the two women face the platform.,A group of people are playing soccer.,contradiction
Dogsled rider pulled past flags on snowy hill.,The dogsled rider is baking a cake.,contradiction
"Three football players during a game, making a tackle.",Three football players are sitting on the bench.,contradiction
An off road motorbike climbs a rocky hill.,The motorbike is broke.,contradiction
Two people ride a colorful bike while a blond woman takes their picture.,the blode woman is riding the bike\,contradiction
Someone leaps across the beach in a sign of joy!,Someone sitting on a beach.,contradiction
A kid with blond-hair playing with a rock outside.,An adult playing with a rock,contradiction
A man in costume walks in front of a Maya Shoe store.,A man in a suit walks to his kitchen.,contradiction
Men standing on a railing.,The men are sitting down,contradiction
Two women looking at three donkeys with saddles.,Two men look at three woman from across the bar.,contradiction
Dancers in white are performing on a blacked out stage with a pink lighted hue illuminating them.,Dancers are sitting at home.,contradiction
Little boy takes photos outside.,Little girl takes photos outside.,contradiction
A small kid is about to kick a soccer ball while two other kids are chasing him.,The kids are eating dinner.,contradiction
A woman blows dandelion puffs in a field.,The woman is in labor.,contradiction
Two men are sitting on a park bench serenading people walking through the park at night.,Four men form a barbershop quartet.,contradiction
"Two motocross bikers wearing full protective gear, with one in midair after a jump and the other looking down at his motorcycle.",The men are asleep at home.,contradiction
Man in blue jeans walks past street art of a ferret.,The ferret bites the man.,contradiction
A woman in a yellow coat is seated next to a standing man in a red jacket in a diner.,Everybody was standing.,contradiction
A dog runs across the grassy field.,"The dog is sleeping in his master's bedroom, curled up at the foot of the bed.",contradiction
